Intent,Pattern,Response
go_memory,"how to use sync.Pool","sync.Pool caches allocated but unused items for later reuse, reducing GC pressure."
go_memory,"detecting memory leaks in go","Use pprof with the -base flag to compare two heap snapshots and find leaking objects."
go_memory,"stack vs heap escape analysis","The compiler moves variables to the heap if they are referenced outside the function scope."
go_memory,"what is a memory barrier","A low-level synchronization primitive that prevents the CPU from reordering instructions."
go_syntax,"using the blank identifier","Use '_' to ignore returned values or to ensure a package's side effects (like init) run."
go_syntax,"embedding structs vs inheritance","Go uses composition via embedding; inner struct methods are promoted to the outer struct."
go_syntax,"variadic functions in go","Use '...' before the type in parameters to accept zero or more arguments of that type."
go_syntax,"type assertion vs type switch","Assertions check a single type; switches allow branching logic based on multiple possible types."
ml_transformer_adv,"rotary positional embeddings","RoPE encodes absolute position with a rotation matrix, improving long-range dependencies."
ml_transformer_adv,"kv cache implementation","Caching Key and Value tensors during inference avoids recomputing past tokens in a sequence."
ml_transformer_adv,"multi-query attention","Sharing a single KV head across multiple Query heads to reduce memory bandwidth usage."
ml_transformer_adv,"sliding window attention","Attention only applied to a local window around the token to reduce O(n^2) complexity."
ml_training_opt,"gradient accumulation steps","Simulate larger batch sizes by summing gradients over N steps before updating weights."
ml_training_opt,"mixed precision training","Using float16 for calculations and float32 for master weights to speed up GPU training."
ml_training_opt,"learning rate schedulers","Cosine annealing or linear warmup helps the model converge without oscillating."
ml_training_opt,"early stopping criteria","Monitor validation loss; stop training when it stops improving to prevent overfitting."
nlp_tokenization,"wordpiece vs sentencepiece","Wordpiece requires pre-tokenization; Sentencepiece treats the input as a raw stream."
nlp_tokenization,"byte-level bpe","BPE applied to bytes instead of characters to ensure a fixed-size, universal vocabulary."
nlp_tokenization,"visualizing attention maps","Heatmaps showing which input tokens the model focused on when generating an output."
nlp_tokenization,"handling special tokens","Include [CLS], [SEP], and [PAD] to help the model identify boundaries and sequence start."
moe_routing_adv,"noisy top-k gating","Adding noise to router logits ensures experts are explored more evenly during training."
moe_routing_adv,"expert capacity factor","A threshold that determines the maximum number of tokens an expert is allowed to handle."
moe_routing_adv,"differentiable load balancing","Using a loss function that penalizes skewed distributions to keep the router gradient-friendly."
moe_routing_adv,"sparse mixture of experts","A model where only a subset of parameters (experts) is used for each forward pass."
go_networking,"writing a tcp server in go","Use net.Listen to create a listener and Accept in a loop to spawn goroutines per client."
go_networking,"http2 support in go","The net/http package supports HTTP/2 automatically if the server uses TLS."
