epoch,avg_loss,lb_loss,perplexity,learning_rate,e0_util,e1_util,e2_util,e3_util,e4_util,e5_util,e6_util,e7_util,frozen_experts
1,7.8362,0.1117,4063.56,0.00008000,0.1650,0.1066,0.0944,0.1054,0.1062,0.1258,0.1830,0.1136,0
2,15.7259,0.0994,4013.65,0.00008000,0.1650,0.1062,0.0944,0.1011,0.1062,0.1258,0.1830,0.1183,0
3,14.7417,0.1215,4081.54,0.00008000,0.1603,0.1109,0.0940,0.1050,0.1140,0.1258,0.1716,0.1183,0
4,14.6491,0.1391,4040.63,0.00008000,0.1638,0.1148,0.0901,0.0968,0.1148,0.1297,0.1716,0.1183,0
5,14.0225,0.1204,4028.58,0.00008000,0.1599,0.1187,0.0901,0.0886,0.1266,0.1336,0.1638,0.1187,0
6,13.5395,0.1141,4022.33,0.00002000,0.1560,0.1187,0.0901,0.0889,0.1266,0.1336,0.1677,0.1183,0
7,14.2283,0.1259,4729.39,0.00004000,0.1403,0.0780,0.0976,0.1442,0.1301,0.1501,0.2429,0.0168,0
8,13.8815,0.1859,5286.01,0.00004000,0.1493,0.1516,0.1250,0.0513,0.1830,0.2002,0.1027,0.0368,0
9,13.5809,0.1722,5331.89,0.00002000,0.1454,0.1391,0.1176,0.0772,0.1775,0.1027,0.1771,0.0635,0
10,13.7189,0.1229,5418.27,0.00002000,0.1501,0.1857,0.0627,0.1434,0.0627,0.1274,0.1454,0.1226,0
11,13.9890,0.1155,5364.29,0.00001000,0.1340,0.1191,0.1007,0.1242,0.0545,0.1340,0.1031,0.2304,0
12,13.5723,0.1460,5388.40,0.00001000,0.1293,0.0760,0.0415,0.1101,0.0588,0.1893,0.2304,0.1646,0
1,7.8795,0.1265,5920.89,0.00008000,0.1133,0.0428,0.1488,0.2173,0.1647,0.0997,0.0487,0.1647,0
2,16.8217,0.1667,5910.01,0.00008000,0.1133,0.0467,0.1488,0.2173,0.1608,0.0997,0.0487,0.1647,0
3,15.6246,0.1449,5606.45,0.00008000,0.1133,0.0467,0.1488,0.2251,0.1608,0.0880,0.0487,0.1686,0
4,16.7203,0.1421,5604.46,0.00008000,0.1133,0.0467,0.1488,0.2251,0.1608,0.0880,0.0487,0.1686,0
5,16.1063,0.2440,5539.81,0.00008000,0.1083,0.0467,0.1526,0.2247,0.1526,0.0857,0.0487,0.1807,0
6,17.0594,0.2700,5538.66,0.00004000,0.1083,0.0467,0.1526,0.2247,0.1526,0.0857,0.0487,0.1807,0
7,15.9525,0.2548,6601.92,0.00008000,0.0658,0.1012,0.1246,0.1830,0.1768,0.1772,0.1523,0.0191,0
8,16.5749,0.4061,6522.72,0.00008000,0.0639,0.0868,0.2504,0.2239,0.0409,0.0974,0.1822,0.0545,0
9,14.0447,0.2124,6447.89,0.00008000,0.1063,0.0681,0.0841,0.2410,0.1137,0.1234,0.1713,0.0919,0
10,13.9484,0.2703,6391.39,0.00004000,0.0479,0.1016,0.2005,0.1585,0.0748,0.1760,0.1721,0.0685,0
11,14.7562,0.2895,6390.00,0.00002000,0.0709,0.1729,0.1316,0.1340,0.0771,0.0981,0.2333,0.0822,0
12,14.1626,0.4868,6696.13,0.00004000,0.0681,0.1569,0.1059,0.1145,0.0164,0.1671,0.2266,0.1445,0
13,14.7182,0.2669,6745.66,0.00002000,0.0592,0.1667,0.0919,0.1764,0.0810,0.1090,0.1815,0.1343,0
14,13.7649,0.2379,6464.43,0.00002000,0.0802,0.1234,0.0709,0.1324,0.0666,0.1760,0.2181,0.1324,0
15,14.5773,0.2680,6344.91,0.00002000,0.0639,0.2103,0.1371,0.1199,0.2613,0.0631,0.0362,0.1083,0
16,13.3076,0.1809,6392.16,0.00000500,0.0720,0.2555,0.1822,0.1842,0.0506,0.0156,0.0810,0.1589,"0,1,2"
